nama_kabupaten_kota,kode_kabupaten_kota_x,2024,2025,change_abs,change_pct,pattern_sudden_appearance,pattern_sudden_disappearance,pattern_extreme_increase,pattern_extreme_decrease,anomaly_flag,signature_type,kode_kabupaten_kota_y,poverty_rate,population,hdi,unemployment_rate,avg_income,latitude,longitude,recipients_per_capita,coverage_ratio,mismatch_indicator,volatility_score,high_risk_population,low_hdi
KABUPATEN MADIUN,3519,727,1209,482,66.29986244841815,0,0,0,0,0,Normal,3519,0.2292182599846986,2320540.871529649,77.94220519905154,0.1166942538313806,4739721.657669414,-8.382315427986601,113.19050970499984,0.0005209990023593301,0.002272935181626514,0,0.6629986244841816,1,0
KABUPATEN MAGETAN,3520,576,1052,476,82.63888888888889,0,0,0,0,0,Normal,3520,0.1136006949943727,1419457.831798133,77.74172848530235,0.0636926834929026,3534027.1965828133,-8.461973884876814,112.7609769050303,0.000741127517356283,0.006523934060777973,0,0.8263888888888888,0,0
KABUPATEN MALANG,3507,1473,556,-917,-62.253903598099114,0,0,0,1,1,D: Extreme Decrease,3507,0.0653959819657586,1756697.5580721537,73.19968092068358,0.074125896367132,4970161.550312789,-8.371978802509348,113.46280250783008,0.0003165027929493884,0.004839750219772358,0,0.6225390359809911,1,0
KABUPATEN MOJOKERTO,3516,831,761,-70,-8.42358604091456,0,0,0,0,0,Normal,3516,0.2285117996979955,2180338.868514696,66.78059582097401,0.099228466155163,4428083.4664355405,-7.307220707846945,113.22282777803676,0.0003490281542750548,0.0015273942714793222,0,0.0842358604091456,1,1
KABUPATEN NGANJUK,3518,1094,240,-854,-78.06215722120659,0,1,0,1,1,B: Sudden Disappearance,3518,0.2114880310328125,1094093.859980999,74.5191135774048,0.0534291585357653,4601216.955740311,-7.841542868941546,112.31114415119264,0.00021935940728591671,0.0010372154806849027,0,0.7806215722120659,0,0
KABUPATEN NGAWI,3521,1439,1198,-241,-16.74774148714385,0,0,0,0,0,Normal,3521,0.0720103849055353,2080764.5764839489,75.59751091715248,0.0329179159717744,3504548.884061599,-7.056027377983113,113.99771444415912,0.0005757496248204784,0.00799531983873465,0,0.1674774148714385,1,0
KABUPATEN PACITAN,3501,1149,601,-548,-47.693646649260224,0,0,0,0,0,Normal,3501,0.1517141382329405,1129455.7395634104,62.75041888291987,0.1195789686141629,3670403.7873750506,-7.9597140378831055,113.65246138662528,0.0005321142270861259,0.003507330292881476,0,0.47693646649260224,0,1
KABUPATEN PAMEKASAN,3528,1112,5730,4618,415.28776978417267,0,0,1,0,1,C: Extreme Increase,3528,0.1334822006297558,601937.8538869098,62.02943085732064,0.031854793983464,3126748.857919832,-7.6761600029408195,114.29080584498736,0.009519239309773038,0.0713139025677025,0,4.152877697841727,0,1
KABUPATEN PASURUAN,3514,426,917,491,115.25821596244133,0,0,0,0,0,Normal,3514,0.2107344153798229,2964126.135276501,78.00836114326661,0.1253773564249978,3078473.4536592653,-7.725549477548207,112.3947665703908,0.00030936594759605683,0.0014680352810005819,0,1.1525821596244132,1,0
KABUPATEN PONOROGO,3502,958,1059,101,10.542797494780794,0,0,0,0,0,Normal,3502,0.2315132947852186,1743121.2647309636,66.82132702100517,0.1079559478856657,4808464.322482343,-8.309409231022173,111.05037721020416,0.0006075305338168277,0.002624166259953675,0,0.10542797494780794,1,1
KABUPATEN PROBOLINGGO,3513,1072,986,-86,-8.022388059701493,0,0,0,0,0,Normal,3513,0.2242921180375435,1723631.9006939076,77.94431515906653,0.1057366351196715,4107452.251961328,-7.036221880806198,112.51848077233292,0.0005720475627977697,0.0025504525972250914,0,0.08022388059701493,1,0
KABUPATEN SAMPANG,3527,654,1363,709,108.4097859327217,0,0,0,0,0,Normal,3527,0.1521494605155131,966296.2759996356,60.18394103233259,0.0744190440306533,3013985.4705546075,-8.124635652753106,113.05021453445713,0.0014105390068392515,0.009270692566046481,0,1.084097859327217,0,1
KABUPATEN SIDOARJO,3515,482,531,49,10.16597510373444,0,0,0,0,0,Normal,3515,0.0873140117772071,1105138.178778751,72.66202914546535,0.090316451172623,2880775.53279348,-8.015565290588132,113.15547534318276,0.0004804824679067018,0.005502873061784607,0,0.1016597510373444,0,0
KABUPATEN SITUBONDO,3512,860,884,24,2.7906976744186047,0,0,0,0,0,Normal,3512,0.1766807513020847,862237.1802280578,61.86205535611799,0.1370455866212536,4091047.222985804,-7.410862999416008,111.60620654468504,0.001025238756843482,0.005802744263099438,0,0.027906976744186046,0,1
KABUPATEN SUMENEP,3529,819,7690,6871,500.0,0,0,1,0,1,C: Extreme Increase,3529,0.094421562094146,1977232.3579706044,73.27003538216111,0.141398227510527,2281945.819522607,-7.428106115949906,113.01415962256556,0.003889272841265875,0.0411903159588425,1,5.0,1,0
KABUPATEN TRENGGALEK,3503,1194,1221,27,2.261306532663317,0,0,0,0,0,Normal,3503,0.0998584458297749,1252195.7745419242,62.26947042481178,0.1319068092593013,4088089.390024919,-7.716635109917793,111.4062542417742,0.0009750863640793704,0.009764615668546832,0,0.022613065326633167,0,1
KABUPATEN TUBAN,3523,1020,949,-71,-6.96078431372549,0,0,0,0,0,Normal,3523,0.1354215577252512,1839436.710186896,61.68279929990098,0.0512532815288458,3949891.792333296,-7.456038690859453,111.570270494785,0.0005159185302902031,0.0038097090914074984,0,0.0696078431372549,1,1
KABUPATEN TULUNGAGUNG,3504,1456,1051,-405,-27.815934065934066,0,0,0,0,0,Normal,3504,0.1320765846071259,1212101.235943669,78.49387236557126,0.1089135470760412,3710183.510268095,-7.345009670352084,111.16100924707614,0.0008670885745720578,0.006565008296436777,0,0.27815934065934067,0,0
KOTA BATU,3579,412,1312,900,218.44660194174756,0,0,1,0,1,C: Extreme Increase,3579,0.2424894589884222,2841824.9718418363,66.50799396318536,0.0503391296023311,4467801.681978975,-7.966040982023108,111.68526897176254,0.0004616749980470022,0.0019038950908426282,0,2.1844660194174756,1,1
KOTA BLITAR,3572,819,1448,629,76.80097680097681,0,0,0,0,0,Normal,3572,0.1175230342807256,541469.5723196404,63.21616102834997,0.1459985782852403,2107826.8213902265,-8.080099154581086,113.25150876454823,0.0026741988836010426,0.022754363137417053,0,0.7680097680097682,0,1
KOTA KEDIRI,3571,912,223,-689,-75.5482456140351,0,0,0,1,1,D: Extreme Decrease,3571,0.0739730734667365,2193910.904605706,60.10123167692437,0.0813820977980777,3734840.422988522,-7.509703934923403,112.35859474172284,0.00010164491998600917,0.0013740721487048586,0,0.7554824561403509,1,1
KOTA MADIUN,3577,633,981,348,54.976303317535546,0,0,0,0,0,Normal,3577,0.1227259204758588,2227344.3452561647,74.24358442695072,0.1321364005820228,2091500.7498171483,-7.870599906358315,114.3641669733837,0.00044043461966477237,0.0035887545554442197,0,0.5497630331753555,1,0
KOTA MALANG,3573,1555,1101,-454,-29.19614147909968,0,0,0,0,0,Normal,3573,0.2385819407825038,1780232.6457482025,70.97467578733172,0.1456343972507103,3396794.0543973804,-7.067702079005208,112.6038851167203,0.0006184581460021042,0.002592220665416846,0,0.2919614147909968,1,1
KOTA MOJOKERTO,3576,1246,880,-366,-29.373996789727126,0,0,0,0,0,Normal,3576,0.1906037917790355,935916.0725124786,64.4853861892112,0.076211727432231,3772499.7817070326,-7.582418880648472,112.35135923230273,0.0009402542445749295,0.004933007731137628,0,0.29373996789727125,0,1
KOTA PASURUAN,3575,682,723,41,6.011730205278592,0,0,0,0,0,Normal,3575,0.1537581243486732,2112931.9760236247,73.03922519005201,0.0653338670483502,2859623.7563848533,-7.668468921232899,114.29512683071783,0.00034217838814775363,0.0022254271005243517,0,0.060117302052785926,1,0
KOTA PROBOLINGGO,3574,995,2011,1016,102.11055276381909,0,0,0,0,0,Normal,3574,0.114640586404151,1066239.4379948447,73.83790395385387,0.1323611346560832,3627933.90412273,-7.393154624956347,112.90965876260576,0.0018860661520040034,0.016451874072228423,0,1.0211055276381908,0,0
KOTA SURABAYA,3578,1062,574,-488,-45.951035781544256,0,0,0,0,0,Normal,3578,0.2443564165441921,1466838.3657513435,64.744981749936,0.0680306406187533,2112044.5662476434,-8.128403515748264,114.16872724684622,0.0003913175589652832,0.0016014178777363575,0,0.4595103578154426,0,1
