id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_bantuan_sosial,tahun,periode_update,satuan
31,35,JAWA TIMUR,3572,KOTA BLITAR,819,2024,2024-12,PENERIMA MANFAAT
32,35,JAWA TIMUR,3573,KOTA MALANG,1555,2024,2024-12,PENERIMA MANFAAT
33,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,995,2024,2024-12,PENERIMA MANFAAT
34,35,JAWA TIMUR,3575,KOTA PASURUAN,682,2024,2024-12,PENERIMA MANFAAT
35,35,JAWA TIMUR,3576,KOTA MOJOKERTO,1246,2024,2024-12,PENERIMA MANFAAT
36,35,JAWA TIMUR,3577,KOTA MADIUN,633,2024,2024-12,PENERIMA MANFAAT
37,35,JAWA TIMUR,3578,KOTA SURABAYA,1062,2024,2024-12,PENERIMA MANFAAT
38,35,JAWA TIMUR,3579,KOTA BATU,412,2024,2024-12,PENERIMA MANFAAT
39,35,JAWA TIMUR,3501,KABUPATEN PACITAN,601,2025,2025-12,PENERIMA MANFAAT
40,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,1059,2025,2025-12,PENERIMA MANFAAT
41,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,1221,2025,2025-12,PENERIMA MANFAAT
42,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1051,2025,2025-12,PENERIMA MANFAAT
43,35,JAWA TIMUR,3505,KABUPATEN BLITAR,965,2025,2025-12,PENERIMA MANFAAT
44,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,909,2025,2025-12,PENERIMA MANFAAT
45,35,JAWA TIMUR,3507,KABUPATEN MALANG,556,2025,2025-12,PENERIMA MANFAAT
46,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,784,2025,2025-12,PENERIMA MANFAAT
47,35,JAWA TIMUR,3509,KABUPATEN JEMBER,306,2025,2025-12,PENERIMA MANFAAT
48,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,5380,2025,2025-12,PENERIMA MANFAAT
49,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,5064,2025,2025-12,PENERIMA MANFAAT
50,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,884,2025,2025-12,PENERIMA MANFAAT
51,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,986,2025,2025-12,PENERIMA MANFAAT
52,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,917,2025,2025-12,PENERIMA MANFAAT
53,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,531,2025,2025-12,PENERIMA MANFAAT
54,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,761,2025,2025-12,PENERIMA MANFAAT
55,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,1279,2025,2025-12,PENERIMA MANFAAT
56,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,240,2025,2025-12,PENERIMA MANFAAT
57,35,JAWA TIMUR,3519,KABUPATEN MADIUN,1209,2025,2025-12,PENERIMA MANFAAT
58,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,1052,2025,2025-12,PENERIMA MANFAAT
59,35,JAWA TIMUR,3521,KABUPATEN NGAWI,1198,2025,2025-12,PENERIMA MANFAAT
60,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,1072,2025,2025-12,PENERIMA MANFAAT
61,35,JAWA TIMUR,3523,KABUPATEN TUBAN,949,2025,2025-12,PENERIMA MANFAAT
62,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,269,2025,2025-12,PENERIMA MANFAAT
63,35,JAWA TIMUR,3525,KABUPATEN GRESIK,926,2025,2025-12,PENERIMA MANFAAT
64,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,769,2025,2025-12,PENERIMA MANFAAT
65,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,1363,2025,2025-12,PENERIMA MANFAAT
66,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,5730,2025,2025-12,PENERIMA MANFAAT
67,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,7690,2025,2025-12,PENERIMA MANFAAT
68,35,JAWA TIMUR,3571,KOTA KEDIRI,223,2025,2025-12,PENERIMA MANFAAT
69,35,JAWA TIMUR,3572,KOTA BLITAR,1448,2025,2025-12,PENERIMA MANFAAT
70,35,JAWA TIMUR,3573,KOTA MALANG,1101,2025,2025-12,PENERIMA MANFAAT
71,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2011,2025,2025-12,PENERIMA MANFAAT
72,35,JAWA TIMUR,3575,KOTA PASURUAN,723,2025,2025-12,PENERIMA MANFAAT
73,35,JAWA TIMUR,3576,KOTA MOJOKERTO,880,2025,2025-12,PENERIMA MANFAAT
74,35,JAWA TIMUR,3577,KOTA MADIUN,981,2025,2025-12,PENERIMA MANFAAT
75,35,JAWA TIMUR,3578,KOTA SURABAYA,574,2025,2025-12,PENERIMA MANFAAT
76,35,JAWA TIMUR,3579,KOTA BATU,1312,2025,2025-12,PENERIMA MANFAAT
